Year,Month,Maximum temperature (Degree C)
1957,1,27.8
1957,1,27.8
1957,1,26.7
1957,1,27.2
1957,1,29.4
1957,1,28.9
1957,1,28.9
1957,1,29.4
1957,1,28.9
1957,1,30.0
1957,1,27.8
1957,1,26.7
1957,1,27.2
1957,1,29.4
1957,1,29.4
1957,1,30.6
1957,1,28.3
1957,1,28.3
1957,1,29.4
1957,1,29.4
1957,1,30.0
1957,1,30.0
1957,1,30.6
1957,1,31.1
1957,1,31.1
1957,1,32.2
1957,1,30.6
1957,1,26.1
1957,1,28.9
1957,1,30.0
1957,1,29.4
1957,2,29.4
1957,2,28.9
1957,2,26.1
1957,2,27.8
1957,2,28.9
1957,2,31.1
1957,2,31.7
1957,2,32.8
1957,2,33.3
1957,2,33.3
1957,2,33.9
1957,2,33.9
1957,2,32.8
1957,2,32.8
1957,2,32.2
1957,2,32.2
1957,2,32.8
1957,2,35.0
1957,2,35.6
1957,2,33.9
1957,2,35.0
1957,2,33.3
1957,2,33.9
1957,2,31.7
1957,2,30.6
1957,2,31.7
1957,2,31.1
1957,2,28.9
1957,3,27.2
1957,3,28.3
1957,3,28.9
1957,3,30.0
1957,3,30.0
1957,3,30.6
1957,3,30.0
1957,3,29.4
1957,3,28.9
1957,3,30.0
1957,3,30.0
1957,3,31.7
1957,3,31.1
1957,3,30.6
1957,3,29.4
1957,3,31.1
1957,3,25.6
1957,3,29.4
1957,3,28.9
1957,3,30.0
1957,3,30.6
1957,3,30.0
1957,3,30.6
1957,3,29.4
1957,3,28.3
1957,3,27.736907654921023
1957,3,27.736907654921023
1957,3,27.736907654921023
1957,3,27.736907654921023
1957,3,28.9
1957,3,27.8
1957,4,27.8
1957,4,27.8
1957,4,27.8
1957,4,27.8
1957,4,27.8
1957,4,28.3
1957,4,27.2
1957,4,23.9
1957,4,27.2
1957,4,27.2
1957,4,26.7
1957,4,26.7
1957,4,26.1
1957,4,27.8
1957,4,28.3
1957,4,27.8
1957,4,27.2
1957,4,28.3
1957,4,27.8
1957,4,27.8
1957,4,28.9
1957,4,28.9
1957,4,29.4
1957,4,30.0
1957,4,29.4
1957,4,28.3
1957,4,27.8
1957,4,28.3
1957,4,28.3
1957,4,28.3
1957,5,28.9
1957,5,29.4
1957,5,27.8
1957,5,26.7
1957,5,23.9
1957,5,26.1
1957,5,24.4
1957,5,26.1
1957,5,26.7
1957,5,26.1
1957,5,26.1
1957,5,26.1
1957,5,25.6
1957,5,23.9
1957,5,26.1
1957,5,26.1
1957,5,25.6
1957,5,26.7
1957,5,25.0
1957,5,25.6
1957,5,23.9
1957,5,22.2
1957,5,22.8
1957,5,23.9
1957,5,22.8
1957,5,22.2
1957,5,26.7
1957,5,23.3
1957,5,25.0
1957,5,25.0
1957,5,23.9
1957,6,26.7
1957,6,22.2
1957,6,23.3
1957,6,23.3
1957,6,22.2
1957,6,21.7
1957,6,21.1
1957,6,22.8
1957,6,22.8
1957,6,22.2
1957,6,25.0
1957,6,25.6
1957,6,22.8
1957,6,22.2
1957,6,23.9
1957,6,22.8
1957,6,23.3
1957,6,23.3
1957,6,25.6
1957,6,26.1
1957,6,27.2
1957,6,27.2
1957,6,23.9
1957,6,25.6
1957,6,26.7
1957,6,26.1
1957,6,26.1
1957,6,25.6
1957,6,26.1
1957,6,26.1
1957,7,23.3
1957,7,21.1
1957,7,20.6
1957,7,22.2
1957,7,25.6
1957,7,26.1
1957,7,23.9
1957,7,23.3
1957,7,22.2
1957,7,23.3
1957,7,25.0
1957,7,23.3
1957,7,23.9
1957,7,23.3
1957,7,25.6
1957,7,25.6
1957,7,23.3
1957,7,23.9
1957,7,27.2
1957,7,26.1
1957,7,27.2
1957,7,24.4
1957,7,27.2
1957,7,26.7
1957,7,20.6
1957,7,20.0
