Year,Month,Minimum temperature (Degree C)
1957,1,23.3
1957,1,22.8
1957,1,22.8
1957,1,23.3
1957,1,21.1
1957,1,23.9
1957,1,22.2
1957,1,20.6
1957,1,22.2
1957,1,23.9
1957,1,23.3
1957,1,22.8
1957,1,22.2
1957,1,22.2
1957,1,21.1
1957,1,21.1
1957,1,19.4
1957,1,21.7
1957,1,21.1
1957,1,22.2
1957,1,20.0
1957,1,20.6
1957,1,21.1
1957,1,20.0
1957,1,18.9
1957,1,21.7
1957,1,21.7
1957,1,22.2
1957,1,22.2
1957,1,22.2
1957,1,22.8
1957,2,23.3
1957,2,22.8
1957,2,22.8
1957,2,22.2
1957,2,22.8
1957,2,22.8
1957,2,23.3
1957,2,23.9
1957,2,24.4
1957,2,23.3
1957,2,23.3
1957,2,23.3
1957,2,23.3
1957,2,22.8
1957,2,22.8
1957,2,22.8
1957,2,21.7
1957,2,21.1
1957,2,20.6
1957,2,22.8
1957,2,23.9
1957,2,23.3
1957,2,23.9
1957,2,23.3
1957,2,23.9
1957,2,23.3
1957,2,22.2
1957,2,22.8
1957,3,21.7
1957,3,22.2
1957,3,22.2
1957,3,21.1
1957,3,21.7
1957,3,21.7
1957,3,22.8
1957,3,21.7
1957,3,21.7
1957,3,22.2
1957,3,22.2
1957,3,23.3
1957,3,23.9
1957,3,23.3
1957,3,22.8
1957,3,22.8
1957,3,22.2
1957,3,19.4
1957,3,19.4
1957,3,20.0
1957,3,18.9
1957,3,20.6
1957,3,21.1
1957,3,20.0
1957,3,20.6
1957,3,21.1
1957,3,21.1
1957,3,21.1
1957,3,21.1
1957,3,21.1
1957,3,21.7
1957,4,21.7
1957,4,19.4
1957,4,20.6
1957,4,19.4
1957,4,21.1
1957,4,22.2
1957,4,20.6
1957,4,21.1
1957,4,20.0
1957,4,21.1
1957,4,22.2
1957,4,21.7
1957,4,22.2
1957,4,22.2
1957,4,19.4
1957,4,20.6
1957,4,18.9
1957,4,17.2
1957,4,16.7
1957,4,17.8
1957,4,17.8
1957,4,17.8
1957,4,18.3
1957,4,20.0
1957,4,20.0
1957,4,20.6
1957,4,21.7
1957,4,21.1
1957,4,19.4
1957,4,18.9
1957,5,20.0
1957,5,19.4
1957,5,18.3
1957,5,21.7
1957,5,18.3
1957,5,17.8
1957,5,19.4
1957,5,19.4
1957,5,19.4
1957,5,20.0
1957,5,17.2
1957,5,20.0
1957,5,16.7
1957,5,18.9
1957,5,19.4
1957,5,18.3
1957,5,17.8
1957,5,18.3
1957,5,18.3
1957,5,17.2
1957,5,15.6
1957,5,12.2
1957,5,9.4
1957,5,10.0
1957,5,14.4
1957,5,17.2
1957,5,18.3
1957,5,19.4
1957,5,18.9
1957,5,18.3
1957,5,19.4
1957,6,18.9
1957,6,19.4
1957,6,18.9
1957,6,19.4
1957,6,17.8
1957,6,18.9
1957,6,18.9
1957,6,18.9
1957,6,18.3
1957,6,17.8
1957,6,17.8
1957,6,18.3
1957,6,18.3
1957,6,18.3
1957,6,15.6
1957,6,15.6
1957,6,17.8
1957,6,17.8
1957,6,16.7
1957,6,17.8
1957,6,15.0
1957,6,16.7
1957,6,12.8
1957,6,11.1
1957,6,11.7
1957,6,12.8
1957,6,16.1
1957,6,18.9
1957,6,19.4
1957,6,18.9
1957,7,18.3
1957,7,16.1
1957,7,11.1
1957,7,10.6
1957,7,16.7
1957,7,16.1
1957,7,17.2
1957,7,17.2
1957,7,17.8
1957,7,18.3
1957,7,18.9
1957,7,17.2
1957,7,18.9
1957,7,19.4
1957,7,16.7
1957,7,15.0
1957,7,16.7
1957,7,19.4
1957,7,19.4
1957,7,16.7
1957,7,17.2
1957,7,18.3
1957,7,16.7
1957,7,20.0
1957,7,18.3
1957,7,16.7
1957,7,17.8
1957,7,19.4
1957,7,19.4
1957,7,18.9
1957,7,15.0
1957,8,17.8
1957,8,17.2
1957,8,17.2
1957,8,17.2
1957,8,19.4
1957,8,16.7
1957,8,14.4
1957,8,16.1
1957,8,15.6
1957,8,15.0
1957,8,15.6
1957,8,16.1
1957,8,18.3
1957,8,17.2
1957,8,18.9
1957,8,17.2
1957,8,13.9
1957,8,10.6
1957,8,12.8
1957,8,13.9
1957,8,13.3
1957,8,15.0
1957,8,15.0
1957,8,16.7
1957,8,16.1
1957,8,17.8
1957,8,16.7
1957,8,12.8
1957,8,14.4
1957,8,16.1
1957,8,15.6
1957,9,14.4
1957,9,13.3
1957,9,15.0
1957,9,16.1
1957,9,17.2
1957,9,16.1
1957,9,15.0
1957,9,15.6
1957,9,14.4
1957,9,14.4
1957,9,15.0
1957,9,15.0
1957,9,16.1
1957,9,15.6
1957,9,15.0
1957,9,14.4
1957,9,13.3
1957,9,14.4
1957,9,15.0
1957,9,17.2
1957,9,16.1
1957,9,13.9
1957,9,12.8
1957,9,14.4
1957,9,15.6
1957,9,15.6
1957,9,15.0
1957,9,17.2
1957,9,17.2
1957,9,16.7
1957,10,16.1
1957,10,16.7
1957,10,16.7
1957,10,18.3
1957,10,15.0
1957,10,15.0
1957,10,15.0
1957,10,16.7
1957,10,17.2
1957,10,16.1
1957,10,15.6
1957,10,15.6
1957,10,16.1
1957,10,16.1
1957,10,17.8
1957,10,16.7
1957,10,17.2
1957,10,16.7
1957,10,16.7
1957,10,20.0
1957,10,22.8
1957,10,19.4
1957,10,20.0
1957,10,18.9
1957,10,20.6
1957,10,21.1
1957,10,20.6
1957,10,20.0
1957,10,20.0
1957,10,21.7
1957,10,21.7
1957,11,19.4
1957,11,19.4
1957,11,23.3
1957,11,23.9
1957,11,22.2
1957,11,22.8
1957,11,22.8
1957,11,22.8
1957,11,21.7
1957,11,22.8
1957,11,18.9
1957,11,18.3
1957,11,17.8
1957,11,18.3
1957,11,20.0
1957,11,20.0
1957,11,20.0
1957,11,18.3
1957,11,19.4
1957,11,21.7
1957,11,20.6
1957,11,21.7
1957,11,21.1
1957,11,19.4
1957,11,20.0
1957,11,21.1
1957,11,22.8
1957,11,23.3
1957,11,21.1
1957,11,20.6
1957,12,20.6
1957,12,19.4
1957,12,20.0
1957,12,20.6
1957,12,20.0
1957,12,20.6
1957,12,22.2
1957,12,20.0
1957,12,
1957,12,20.6
1957,12,20.6
1957,12,21.7
1957,12,23.3
1957,12,22.2
1957,12,22.2
1957,12,20.6
1957,12,21.7
1957,12,20.6
1957,12,21.7
1957,12,21.1
1957,12,21.1
1957,12,22.2
1957,12,23.9
1957,12,22.8
1957,12,21.1
1957,12,20.0
1957,12,20.0
1957,12,20.0
1957,12,21.1
1957,12,21.7
1957,12,22.2
1958,1,21.7
1958,1,25.0
1958,1,22.2
1958,1,23.9
1958,1,22.8
1958,1,21.1
1958,1,22.8
1958,1,22.8
1958,1,22.2
1958,1,23.3
1958,1,21.1
1958,1,22.8
1958,1,22.2
1958,1,22.2
1958,1,19.4
1958,1,18.9
1958,1,21.7
1958,1,23.3
1958,1,21.7
1958,1,22.2
1958,1,22.2
1958,1,23.3
1958,1,25.6
1958,1,23.9
1958,1,24.4
1958,1,23.9
1958,1,23.9
1958,1,22.8
1958,1,23.9
1958,1,23.3
1958,1,23.3
1958,2,23.9
1958,2,23.9
1958,2,22.8
1958,2,22.8
1958,2,23.9
1958,2,23.9
1958,2,23.3
1958,2,22.8
1958,2,23.3
1958,2,23.9
1958,2,24.4
1958,2,22.8
1958,2,23.3
1958,2,23.9
1958,2,24.4
1958,2,23.9
1958,2,24.4
1958,2,24.4
1958,2,23.9
1958,2,23.3
1958,2,24.4
1958,2,24.4
1958,2,24.4
1958,2,25.0
1958,2,23.3
1958,2,22.2
1958,2,22.8
1958,2,22.2
1958,3,22.2
1958,3,21.7
1958,3,21.1
1958,3,20.6
1958,3,20.6
1958,3,21.1
1958,3,25.0
1958,3,22.8
1958,3,22.8
1958,3,25.0
1958,3,22.8
1958,3,22.8
1958,3,23.9
1958,3,23.3
1958,3,23.3
1958,3,23.9
1958,3,21.1
1958,3,21.1
1958,3,21.7
1958,3,21.7
1958,3,22.8
1958,3,22.8
1958,3,22.2
1958,3,23.3
1958,3,24.4
1958,3,23.3
1958,3,23.9
1958,3,23.3
1958,3,22.8
1958,3,23.3
1958,3,23.9
1958,4,24.4
1958,4,23.9
1958,4,24.4
1958,4,23.9
1958,4,22.2
1958,4,23.3
1958,4,21.7
1958,4,21.1
1958,4,21.7
1958,4,21.1
1958,4,22.2
1958,4,22.2
1958,4,22.2
1958,4,22.8
1958,4,22.2
1958,4,21.1
1958,4,23.3
1958,4,21.7
1958,4,21.7
1958,4,20.0
1958,4,22.2
1958,4,22.2
1958,4,22.2
1958,4,20.6
1958,4,19.4
1958,4,19.4
1958,4,21.1
1958,4,21.7
1958,4,22.2
1958,4,22.2
1958,5,21.1
1958,5,21.1
1958,5,21.7
1958,5,20.0
1958,5,17.2
1958,5,16.1
1958,5,17.2
1958,5,20.6
1958,5,21.1
1958,5,22.8
1958,5,21.7
1958,5,18.9
1958,5,21.7
1958,5,20.0
1958,5,18.9
1958,5,18.3
1958,5,18.3
1958,5,18.9
1958,5,20.0
1958,5,20.0
1958,5,21.7
1958,5,18.3
1958,5,20.6
1958,5,20.0
1958,5,18.9
1958,5,18.3
1958,5,18.3
1958,5,21.7
1958,5,21.7
1958,5,21.7
1958,5,21.1
1958,6,21.1
1958,6,20.0
1958,6,19.4
1958,6,19.4
1958,6,17.2
1958,6,17.8
1958,6,18.3
1958,6,17.8
1958,6,15.6
1958,6,19.4
1958,6,17.8
1958,6,15.0
1958,6,14.4
1958,6,15.0
1958,6,18.9
1958,6,18.3
1958,6,14.4
1958,6,17.2
1958,6,16.7
1958,6,16.1
1958,6,16.7
1958,6,17.2
1958,6,20.0
1958,6,21.1
1958,6,21.1
1958,6,18.9
