Year,Month,Rainfall amount (millimetres)
1957,1,66.8
1957,1,88.4
1957,1,122.7
1957,1,37.6
1957,1,24.9
1957,1,24.1
1957,1,43.7
1957,1,62.7
1957,1,27.9
1957,1,7.1
1957,1,2.3
1957,1,149.1
1957,1,70.4
1957,1,33.8
1957,1,7.1
1957,1,0.0
1957,1,0.0
1957,1,10.9
1957,1,22.9
1957,1,10.9
1957,1,5.3
1957,1,1.5
1957,1,0.0
1957,1,0.0
1957,1,0.0
1957,1,0.0
1957,1,2.8
1957,1,142.0
1957,1,40.4
1957,1,12.7
1957,1,0.0
1957,2,7.1
1957,2,102.4
1957,2,255.5
1957,2,72.6
1957,2,28.7
1957,2,5.1
1957,2,5.8
1957,2,3.3
1957,2,0.0
1957,2,0.0
1957,2,0.0
1957,2,0.0
1957,2,13.0
1957,2,0.0
1957,2,0.5
1957,2,0.0
1957,2,0.0
1957,2,0.0
1957,2,0.0
1957,2,2.5
1957,2,0.0
1957,2,0.0
1957,2,0.0
1957,2,23.1
1957,2,18.0
1957,2,10.7
1957,2,60.5
1957,2,21.8
1957,3,44.7
1957,3,46.0
1957,3,15.5
1957,3,2.5
1957,3,0.0
1957,3,0.0
1957,3,0.0
1957,3,0.5
1957,3,0.5
1957,3,6.1
1957,3,0.0
1957,3,0.0
1957,3,1.3
1957,3,144.8
1957,3,16.8
1957,3,0.5
1957,3,85.9
1957,3,0.0
1957,3,0.5
1957,3,0.5
1957,3,0.0
1957,3,0.0
1957,3,0.0
1957,3,0.0
1957,3,0.0
1957,3,10.9
1957,3,32.3
1957,3,86.6
1957,3,70.9
1957,3,2.0
1957,3,5.3
1957,4,6.9
1957,4,0.0
1957,4,1.3
1957,4,1.5
1957,4,2.5
1957,4,13.2
1957,4,4.1
1957,4,1.3
1957,4,10.2
1957,4,2.0
1957,4,31.8
1957,4,99.3
1957,4,26.4
1957,4,3.8
1957,4,4.6
1957,4,6.1
1957,4,0.0
1957,4,0.0
1957,4,0.0
1957,4,0.0
1957,4,0.0
1957,4,0.0
1957,4,0.0
1957,4,0.0
1957,4,0.0
1957,4,11.7
1957,4,121.2
1957,4,0.0
1957,4,0.0
1957,4,0.0
1957,5,0.0
1957,5,0.0
1957,5,0.0
1957,5,0.0
1957,5,0.0
1957,5,0.5
1957,5,15.0
1957,5,25.4
1957,5,12.7
1957,5,23.4
1957,5,22.1
1957,5,14.0
1957,5,1.5
1957,5,7.9
1957,5,57.4
1957,5,1.3
1957,5,1.8
1957,5,12.7
1957,5,26.7
1957,5,1.3
1957,5,0.0
1957,5,0.0
1957,5,0.0
1957,5,0.0
1957,5,0.5
1957,5,9.7
1957,5,2.0
1957,5,55.6
1957,5,5.1
1957,5,5.3
1957,5,0.8
1957,6,3.0
1957,6,4.8
1957,6,49.8
1957,6,20.8
1957,6,26.2
1957,6,23.6
1957,6,52.3
1957,6,52.6
1957,6,22.9
1957,6,14.2
1957,6,20.1
1957,6,3.3
1957,6,2.3
1957,6,4.8
1957,6,3.0
1957,6,0.0
1957,6,38.9
1957,6,10.7
1957,6,5.8
1957,6,4.8
1957,6,0.0
1957,6,0.0
1957,6,0.0
1957,6,0.0
1957,6,0.0
1957,6,0.0
1957,6,0.0
1957,6,0.0
1957,6,2.0
1957,6,5.3
1957,7,0.0
1957,7,3.6
1957,7,0.0
1957,7,0.0
1957,7,3.0
1957,7,1.8
1957,7,2.0
1957,7,6.9
1957,7,15.7
1957,7,8.1
1957,7,0.0
1957,7,0.0
1957,7,2.5
1957,7,6.1
1957,7,5.1
1957,7,0.0
1957,7,0.0
1957,7,8.9
1957,7,8.1
1957,7,1.3
1957,7,0.0
1957,7,0.0
1957,7,0.0
1957,7,6.6
1957,7,11.4
1957,7,18.3
1957,7,13.7
1957,7,13.2
1957,7,6.6
1957,7,14.5
1957,7,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,2.3
1957,8,0.5
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,2.5
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.0
1957,8,0.3
1957,8,1.0
1957,8,1.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,4.8
1957,9,6.1
1957,9,0.5
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,9,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.5
1957,10,3.8
1957,10,0.0
1957,10,0.0
1957,10,0.3
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,0.0
1957,10,1.3
1957,11,46.7
1957,11,33.3
1957,11,1.5
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.3
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,0.0
1957,11,2.0
1957,12,7.6
1957,12,0.0
1957,12,0.0
1957,12,0.0
1957,12,0.0
1957,12,0.0
1957,12,0.0
1957,12,0.0
1957,12,0.0
1957,12,0.0
1957,12,0.0
1957,12,0.0
1957,12,3.8
1957,12,3.3
1957,12,0.0
1957,12,3.8
1957,12,4.3
1957,12,0.0
1957,12,9.7
1957,12,0.5
1957,12,0.0
1957,12,2.5
1957,12,12.7
1957,12,1.3
1957,12,0.0
1957,12,0.0
1957,12,0.0
1957,12,0.0
1957,12,0.0
1957,12,0.0
1957,12,0.0
1958,1,0.0
1958,1,7.6
1958,1,14.0
1958,1,37.8
1958,1,111.3
1958,1,267.5
1958,1,68.3
1958,1,19.1
1958,1,0.0
1958,1,4.3
1958,1,0.8
1958,1,0.0
1958,1,0.0
1958,1,2.3
1958,1,0.0
1958,1,0.0
1958,1,0.0
1958,1,0.0
1958,1,0.0
1958,1,17.0
1958,1,0.0
1958,1,0.0
1958,1,0.0
1958,1,1.3
1958,1,0.0
1958,1,0.0
1958,1,1.5
1958,1,0.0
1958,1,0.0
1958,1,0.5
1958,1,7.4
1958,2,2.3
1958,2,18.8
1958,2,0.0
1958,2,0.0
1958,2,0.0
1958,2,0.0
1958,2,0.0
1958,2,35.3
1958,2,32.0
1958,2,60.7
1958,2,29.5
1958,2,12.4
1958,2,29.0
1958,2,18.3
1958,2,81.3
1958,2,92.2
1958,2,11.4
1958,2,0.0
1958,2,78.0
1958,2,26.9
1958,2,0.0
1958,2,0.0
1958,2,0.0
1958,2,0.0
1958,2,5.1
1958,2,119.1
1958,2,15.2
1958,2,17.3
1958,3,3.0
1958,3,1.3
1958,3,2.5
1958,3,0.0
1958,3,0.0
1958,3,0.0
1958,3,0.0
1958,3,30.5
1958,3,7.6
1958,3,7.4
1958,3,0.0
1958,3,0.0
1958,3,0.0
1958,3,0.0
1958,3,0.0
1958,3,0.0
1958,3,119.1
1958,3,8.1
1958,3,3.8
1958,3,0.3
1958,3,0.0
1958,3,0.0
1958,3,0.0
1958,3,11.7
1958,3,10.2
1958,3,61.2
1958,3,103.9
1958,3,183.6
1958,3,2.5
1958,3,29.2
1958,3,30.0
1958,4,9.1
1958,4,0.0
1958,4,0.0
1958,4,42.9
1958,4,60.5
1958,4,74.2
1958,4,22.4
1958,4,9.9
1958,4,15.5
1958,4,55.1
1958,4,95.0
1958,4,16.8
1958,4,85.1
1958,4,33.8
1958,4,43.9
1958,4,7.6
1958,4,13.2
1958,4,0.5
1958,4,7.9
1958,4,15.5
1958,4,0.0
1958,4,1.5
1958,4,12.2
1958,4,0.8
1958,4,0.0
1958,4,11.4
1958,4,22.9
1958,4,29.2
1958,4,35.1
1958,4,1.8
1958,5,60.2
1958,5,3.0
1958,5,15.7
1958,5,21.6
1958,5,0.0
1958,5,0.0
1958,5,0.0
1958,5,2.3
1958,5,0.0
1958,5,7.1
1958,5,23.9
1958,5,8.1
1958,5,57.9
1958,5,15.7
1958,5,0.0
1958,5,0.0
1958,5,0.0
1958,5,0.0
1958,5,0.0
1958,5,0.0
1958,5,1.0
1958,5,0.8
1958,5,13.0
1958,5,7.1
1958,5,1.0
1958,5,0.0
1958,5,0.0
1958,5,1.5
1958,5,5.1
1958,5,1.3
1958,5,23.4
1958,6,95.0
1958,6,49.3
1958,6,55.6
1958,6,0.0
1958,6,0.0
1958,6,0.0
1958,6,16.5
1958,6,91.9
1958,6,0.0
1958,6,0.0
1958,6,0.0
1958,6,0.0
1958,6,0.0
1958,6,0.0
1958,6,0.0
1958,6,0.3
1958,6,1.3
1958,6,0.0
1958,6,0.0
1958,6,0.0
1958,6,0.0
1958,6,0.0
1958,6,14.5
1958,6,16.3
1958,6,5.3
1958,6,0.5
1958,6,0.0
1958,6,1.8
1958,6,1.3
1958,6,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,2.3
1958,7,2.5
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,7,0.0
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,8,19.8
1958,8,0.5
1958,8,1.3
1958,8,1.8
1958,8,0.5
1958,8,6.9
1958,8,2.5
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,8,1.3
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,8,0.0
1958,9,3.0
1958,9,35.3
1958,9,7.6
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,27.7
1958,9,2.5
1958,9,0.0
1958,9,0.0
1958,9,0.0
1958,9,1.3
1958,10,0.0
1958,10,1.5
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,10,0.0
1958,11,0.0
1958,11,0.0
1958,11,0.0
1958,11,0.0
1958,11,0.0
1958,11,0.0
1958,11,0.0
1958,11,0.0
1958,11,0.0
1958,11,0.0
1958,11,0.0
1958,11,0.0
1958,11,0.0
1958,11,0.0
1958,11,0.0
1958,11,0.0
1958,11,0.0
1958,11,28.7
1958,11,24.6
1958,11,18.0
1958,11,4.3
1958,11,22.6
1958,11,10.2
1958,11,13.5
1958,11,0.0
1958,11,1.0
1958,11,3.3
1958,11,0.0
1958,11,0.5
1958,11,2.0
1958,12,0.5
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,11.2
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,9.7
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,0.0
1958,12,2.8
1958,12,0.0
1958,12,43.2
1958,12,0.0
1958,12,0.8
1959,1,33.0
1959,1,0.8
1959,1,1.5
1959,1,0.0
1959,1,0.0
1959,1,0.0
1959,1,4.1
1959,1,0.0
1959,1,0.5
1959,1,11.9
1959,1,5.3
1959,1,7.9
1959,1,2.0
1959,1,40.1
1959,1,41.4
1959,1,9.1
1959,1,2.0
1959,1,9.7
1959,1,30.7
1959,1,231.6
1959,1,5.6
1959,1,5.1
1959,1,0.0
1959,1,0.0
1959,1,3.0
1959,1,3.3
1959,1,0.3
1959,1,1.3
1959,1,3.0
1959,1,126.5
1959,1,30.5
1959,2,50.8
1959,2,17.0
1959,2,13.0
1959,2,23.4
1959,2,71.1
1959,2,0.8
1959,2,13.0
1959,2,0.8
1959,2,0.0
1959,2,0.0
1959,2,0.0
1959,2,0.0
1959,2,0.0
1959,2,0.0
1959,2,0.0
1959,2,2.5
1959,2,1.0
1959,2,0.0
1959,2,0.0
1959,2,0.0
1959,2,0.0
1959,2,0.0
1959,2,0.0
1959,2,28.7
1959,2,50.3
1959,2,7.9
1959,2,364.0
1959,2,37.6
1959,3,103.1
1959,3,34.8
1959,3,22.4
1959,3,25.4
1959,3,140.5
1959,3,55.1
1959,3,4.3
1959,3,11.4
1959,3,0.0
1959,3,3.6
1959,3,7.1
1959,3,229.4
1959,3,87.4
1959,3,44.2
1959,3,39.4
1959,3,0.0
1959,3,11.4
1959,3,0.0
1959,3,17.0
1959,3,7.4
1959,3,3.0
1959,3,19.1
1959,3,21.3
1959,3,73.9
1959,3,45.0
1959,3,56.6
1959,3,81.0
1959,3,22.4
1959,3,2.8
1959,3,0.0
1959,3,0.0
1959,4,104.1
1959,4,26.2
1959,4,9.1
1959,4,26.2
1959,4,45.0
1959,4,0.0
1959,4,14.5
1959,4,0.0
1959,4,0.0
1959,4,2.8
1959,4,7.6
1959,4,0.0
1959,4,0.3
1959,4,4.3
1959,4,2.5
1959,4,9.7
1959,4,1.0
1959,4,8.1
1959,4,14.0
1959,4,3.6
1959,4,11.9
1959,4,4.8
1959,4,18.8
1959,4,11.9
1959,4,12.4
1959,4,0.0
1959,4,0.0
1959,4,7.4
1959,4,12.7
1959,4,50.5
1959,5,4.6
1959,5,49.0
1959,5,58.2
1959,5,49.3
1959,5,43.2
1959,5,22.9
1959,5,14.2
1959,5,18.3
1959,5,7.1
1959,5,20.1
1959,5,9.1
1959,5,14.5
1959,5,39.6
1959,5,41.7
1959,5,7.4
1959,5,13.7
1959,5,6.6
1959,5,12.7
1959,5,4.6
1959,5,2.5
1959,5,0.5
1959,5,2.0
1959,5,8.9
1959,5,1.5
1959,5,0.0
1959,5,6.9
1959,5,2.0
1959,5,45.5
1959,5,2.5
1959,5,0.0
1959,5,0.5
1959,6,0.5
1959,6,1.5
1959,6,18.8
1959,6,9.7
1959,6,2.5
1959,6,23.6
1959,6,17.8
1959,6,0.0
1959,6,0.0
1959,6,0.0
1959,6,5.1
1959,6,5.1
1959,6,1.3
1959,6,0.0
1959,6,0.0
1959,6,9.4
1959,6,15.0
1959,6,34.5
1959,6,25.1
1959,6,18.5
1959,6,1.3
1959,6,4.6
1959,6,20.6
1959,6,34.5
1959,6,14.2
1959,6,0.3
1959,6,0.5
1959,6,0.0
1959,6,0.0
1959,6,0.0
1959,7,0.0
1959,7,6.6
1959,7,25.9
1959,7,18.8
1959,7,9.7
1959,7,23.4
1959,7,16.5
1959,7,6.9
1959,7,0.5
1959,7,0.8
1959,7,92.5
1959,7,45.5
1959,7,4.8
1959,7,0.0
1959,7,0.0
1959,7,11.2
1959,7,0.0
1959,7,5.8
1959,7,5.8
1959,7,0.0
1959,7,0.0
1959,7,0.0
1959,7,0.0
1959,7,0.0
1959,7,0.0
1959,7,0.0
1959,7,0.0
1959,7,0.0
1959,7,0.0
1959,7,0.0
1959,7,0.0
1959,8,0.0
1959,8,0.0
1959,8,0.0
1959,8,0.0
1959,8,0.0
1959,8,0.0
1959,8,0.0
1959,8,0.0
1959,8,0.0
1959,8,0.0
1959,8,0.0
1959,8,0.0
1959,8,0.0
1959,8,0.0
1959,8,7.9
1959,8,23.9
1959,8,5.3
1959,8,13.7
1959,8,0.0
1959,8,0.8
1959,8,0.0
1959,8,0.8
1959,8,0.0
1959,8,6.9
1959,8,69.1
1959,8,14.0
1959,8,37.3
1959,8,55.9
1959,8,35.1
1959,8,44.5
1959,8,3.8
1959,9,4.6
1959,9,43.2
1959,9,20.6
1959,9,20.8
1959,9,23.9
1959,9,19.8
1959,9,11.9
1959,9,0.8
1959,9,13.7
1959,9,8.4
1959,9,6.9
1959,9,8.4
1959,9,0.5
1959,9,0.0
1959,9,2.0
1959,9,0.5
1959,9,0.0
1959,9,0.0
1959,9,0.0
1959,9,0.0
1959,9,0.0
1959,9,0.0
1959,9,0.0
1959,9,0.0
1959,9,0.0
1959,9,0.0
1959,9,0.0
1959,9,0.0
1959,9,0.0
1959,9,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.5
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,10,0.0
1959,11,0.0
1959,11,2.0
1959,11,37.1
1959,11,0.0
1959,11,0.0
1959,11,0.0
1959,11,3.8
1959,11,0.3
1959,11,0.0
1959,11,0.0
1959,11,0.0
1959,11,0.0
1959,11,8.1
1959,11,4.8
1959,11,0.0
1959,11,0.0
1959,11,0.0
1959,11,0.0
1959,11,11.2
1959,11,30.7
1959,11,33.3
1959,11,5.6
1959,11,11.7
1959,11,7.1
1959,11,0.0
1959,11,5.1
1959,11,0.5
1959,11,0.0
1959,11,2.8
1959,11,0.0
1959,12,0.0
1959,12,0.0
1959,12,1.3
1959,12,0.0
1959,12,0.0
1959,12,16.5
1959,12,0.3
1959,12,0.0
1959,12,21.3
1959,12,11.7
1959,12,16.5
1959,12,0.0
1959,12,0.0
1959,12,0.0
1959,12,0.0
1959,12,0.0
1959,12,1.0
1959,12,0.0
1959,12,0.0
1959,12,0.0
1959,12,0.0
1959,12,0.0
1959,12,0.0
1959,12,3.3
1959,12,6.9
1959,12,2.3
1959,12,61.7
1959,12,22.6
1959,12,22.4
1959,12,0.0
1959,12,0.0
1960,1,0.0
1960,1,1.3
1960,1,4.3
1960,1,0.0
1960,1,0.0
1960,1,0.0
1960,1,0.8
1960,1,7.1
1960,1,7.6
1960,1,51.1
1960,1,23.9
1960,1,11.2
1960,1,1.8
1960,1,14.0
1960,1,33.8
1960,1,27.7
1960,1,12.4
1960,1,0.5
1960,1,0.0
1960,1,5.1
1960,1,0.0
1960,1,0.0
1960,1,0.0
1960,1,7.6
