Year,Month,Rainfall amount (millimetres),Maximum temperature (Degree C),Minimum temperature (Degree C)
1957,1,66.8,27.8,23.3
1957,1,88.4,27.8,22.8
1957,1,122.7,26.7,22.8
1957,1,37.6,27.2,23.3
1957,1,24.9,29.4,21.1
1957,1,24.1,28.9,23.9
1957,1,43.7,28.9,22.2
1957,1,62.7,29.4,20.6
1957,1,27.9,28.9,22.2
1957,1,7.1,30.0,23.9
1957,1,2.3,27.8,23.3
1957,1,149.1,26.7,22.8
1957,1,70.4,27.2,22.2
1957,1,33.8,29.4,22.2
1957,1,7.1,29.4,21.1
1957,1,0.0,30.6,21.1
1957,1,0.0,28.3,19.4
1957,1,10.9,28.3,21.7
1957,1,22.9,29.4,21.1
1957,1,10.9,29.4,22.2
1957,1,5.3,30.0,20.0
1957,1,1.5,30.0,20.6
1957,1,0.0,30.6,21.1
1957,1,0.0,31.1,20.0
1957,1,0.0,31.1,18.9
1957,1,0.0,32.2,21.7
1957,1,2.8,30.6,21.7
1957,1,142.0,26.1,22.2
1957,1,40.4,28.9,22.2
1957,1,12.7,30.0,22.2
1957,1,0.0,29.4,22.8
1957,2,7.1,29.4,23.3
1957,2,102.4,28.9,22.8
1957,2,255.5,26.1,22.8
1957,2,72.6,27.8,22.2
1957,2,28.7,28.9,22.8
1957,2,5.1,31.1,22.8
1957,2,5.8,31.7,23.3
1957,2,3.3,32.8,23.9
1957,2,0.0,33.3,24.4
1957,2,0.0,33.3,23.3
1957,2,0.0,33.9,23.3
1957,2,0.0,33.9,23.3
1957,2,13.0,32.8,23.3
1957,2,0.0,32.8,22.8
1957,2,0.5,32.2,22.8
1957,2,0.0,32.2,22.8
1957,2,0.0,32.8,21.7
1957,2,0.0,35.0,21.1
1957,2,0.0,35.6,20.6
1957,2,2.5,33.9,22.8
1957,2,0.0,35.0,23.9
1957,2,0.0,33.3,23.3
1957,2,0.0,33.9,23.9
1957,2,23.1,31.7,23.3
1957,2,18.0,30.6,23.9
1957,2,10.7,31.7,23.3
1957,2,60.5,31.1,22.2
1957,2,21.8,28.9,22.8
1957,3,44.7,27.2,21.7
1957,3,46.0,28.3,22.2
1957,3,15.5,28.9,22.2
1957,3,2.5,30.0,21.1
1957,3,0.0,30.0,21.7
1957,3,0.0,30.6,21.7
1957,3,0.0,30.0,22.8
1957,3,0.5,29.4,21.7
1957,3,0.5,28.9,21.7
1957,3,6.1,30.0,22.2
1957,3,0.0,30.0,22.2
1957,3,0.0,31.7,23.3
1957,3,1.3,31.1,23.9
1957,3,144.8,30.6,23.3
1957,3,16.8,29.4,22.8
1957,3,0.5,31.1,22.8
1957,3,85.9,25.6,22.2
1957,3,0.0,29.4,19.4
1957,3,0.5,28.9,19.4
1957,3,0.5,30.0,20.0
1957,3,0.0,30.6,18.9
1957,3,0.0,30.0,20.6
1957,3,0.0,30.6,21.1
1957,3,0.0,29.4,20.0
1957,3,0.0,28.3,20.6
1957,3,10.9,27.736907654921023,21.1
1957,3,32.3,27.736907654921023,21.1
1957,3,86.6,27.736907654921023,21.1
1957,3,70.9,27.736907654921023,21.1
1957,3,2.0,28.9,21.1
1957,3,5.3,27.8,21.7
1957,4,6.9,27.8,21.7
1957,4,0.0,27.8,19.4
1957,4,1.3,27.8,20.6
1957,4,1.5,27.8,19.4
1957,4,2.5,27.8,21.1
1957,4,13.2,28.3,22.2
1957,4,4.1,27.2,20.6
1957,4,1.3,23.9,21.1
1957,4,10.2,27.2,20.0
1957,4,2.0,27.2,21.1
1957,4,31.8,26.7,22.2
1957,4,99.3,26.7,21.7
1957,4,26.4,26.1,22.2
1957,4,3.8,27.8,22.2
1957,4,4.6,28.3,19.4
1957,4,6.1,27.8,20.6
1957,4,0.0,27.2,18.9
1957,4,0.0,28.3,17.2
1957,4,0.0,27.8,16.7
1957,4,0.0,27.8,17.8
1957,4,0.0,28.9,17.8
1957,4,0.0,28.9,17.8
1957,4,0.0,29.4,18.3
